taxon,species_aggregated,genus,family,flowering_start,flowering_end,flowering_times,flowers_m2,nectar_ml,sugar_concentration_mol,sugar_concentration_perc,nectar_sugar_content_mg,pollen_mg,corolla_mm,protein,sugar_perc,time_to_dry_proxy_raw,time_to_dry_days,gmm_confidence,gmm_label
Lamium spec gens rubra,"Lamium maculatum, Lamium purpureum",Lamium,Lamiaceae,75.0,288.0,213.0,463.9348809525,0.0032382994353958,1.012756841,56.0,0.788124188956937,0.347361984866693,7.0,22.8,1.012756841,0.0004672993613981202,5.240225546815081,1.0,1
Lapsana communis,Lapsana communis,Lapsana,Asteraceae,152.0,273.0,121.0,418.754761904762,0.0001429409889464,1.375,,0.06727696321,0.123334232477416,4.0,18.91633889375,1.375,3.6226606795536725e-05,0.4062397813607626,1.0,1
Lathyrus spec,"Lathyrus latifolius, Lathyrus pratensis, Lathyrus sp, Lathyrus tuberosus",Lathyrus,Fabaceae,142.0,253.0,111.0,409.835,0.0024863994900804,1.375,67.0,1.170255,0.07,4.0,26.3727967,1.375,0.0006301468691918842,7.0,0.9999999999999838,1
Leontodon spec,"Leodonton sp, Leontodon hispidus",Leodonton,Asteraceae,152.0,273.0,121.0,48.6509459459459,0.0029465373206207,1.375,,1.38682462166667,0.0960779130755906,2.25,18.91633889375,1.375,0.0013275787535570874,7.0,0.9999999999999996,1
Leucanthemum spec,"Leucanthemum ircutianum, Leucanthemum vulgare",Leucanthemum,Asteraceae,152.0,304.0,152.0,492.298224852071,0.0020859746829203,1.375,,0.9817900592,3.91736638056449,4.0,28.0,1.375,0.000528664207380953,5.928361804124562,1.0,1
Limum spec,"Linum grandiflorum, Linum usitatissimum",Linum,Linaceae,152.0,212.0,60.0,,0.0014333140320401,1.61678352322524,35.25,0.42010686258,1.17473351927534,4.0,25.0179055883978,1.61678352322524,0.0003641219033762451,4.083208876036798,1.0,1
Lobularia maritima,Lobularia maritima,Lobularia,Brassicaceae,152.0,334.0,182.0,,8.95066817305394e-06,1.375,,0.004212743859,0.012493371343539,2.0,24.4562121181818,1.375,4.536869907532366e-06,0.05087578446693617,1.0,1
Lonicera spec,"Lonicera, Lonicera maackii, Lonicera periclymenum",Lonicera,Caprifoliaceae,152.0,212.0,60.0,57.91,0.0036689559928823,1.375,31.0,1.72684,,7.0,24.8,1.375,0.0005313434474958567,5.958406404344353,1.0,1
Lupinus spec,"Lupinus angustifolius, Lupinus luteus, Lupinus sp",Lupinus,Fabaceae,152.0,273.0,121.0,,0.5,,,,,4.0,31.6,1.375,0.12671874968320312,7.0,1.0,0
Lysimachia spec,"Lysimachia nemorum, Lysimachia vulgaris, Lysimachia vvulgaris",Lysimachia,Primulaceae,142.0,253.0,111.0,61.56,1.52550925557061e-05,1.375,,0.00718,,4.0,25.0179055883978,1.375,3.866212509921233e-06,0.05,1.0,1
Lythrum spec,"Lythrum, Lythrum salicaria",Lythrum,Lythraceae,182.0,274.0,92.0,1678.19,0.0004248601799845,2.61437335670464,57.0,0.28543,,4.0,25.0179055883978,2.61437335670464,0.00010899190256083579,1.222218987174437,1.0,1
Malcolmia maritima,Malcolmia maritima,Malcolmia,Brassicaceae,,,,,9.84752884072982e-05,1.375,,0.04634862543,0.175121638257609,4.0,24.4562121181818,1.375,2.495733084333131e-05,0.2798677966823063,1.0,1
Malus domestica,"Malus domestica, Malus sp",Malus,Rosaceae,91.0,151.0,60.0,185.26,0.0028741814727902,2.05578857309795,44.8214285714286,2.10173666666667,1.7,4.0,23.0,2.05578857309795,0.0007333171399361871,7.0,0.9999896346795213,1
Malva spec,"Malva alcea, Malva mauritiana, Malva moschata, Malva sp, Malva sylvestris, Malva verticillata",Malva,Malvaceae,160.0,296.0,136.0,8282.0,0.0021372965322009,2.06397896581946,45.0,1.08288022793333,4.34644419388959,4.0,37.1,2.06397896581946,0.0005453524694022977,6.115501492727068,1.0,1
Matricaria spec,"Matricaria chamomilla, Matricaria discoidea, Matricaria recutita",Matricaria,Asteraceae,152.0,233.0,81.0,1257.15193523546,0.0001331442381749,1.375,,0.062666,0.153582850042559,4.0,18.91633889375,1.375,3.374374277809185e-05,0.37839731349486305,1.0,1
Medicago sativa,Medicago sativa,Medicago,Fabaceae,152.0,273.0,121.0,26249.34,0.0002755560363203,1.62825007303535,35.5,0.115473666676667,2.68376655090331,4.0,26.3727967,1.62825007303535,7.001069424570791e-05,0.785089514008683,1.0,1
Medicago spec,"Medicago falcata, Medicago lupuli, Medicago lupulina, Medicago minima, Medicago varia",Medicago,Fabaceae,131.0,253.0,122.0,889.563736263736,6.3030303030303e-05,1.375,32.5,0.029666,,4.0,26.3727967,1.375,1.597424238430681e-05,0.1791327785743418,1.0,1
Melitlotus spec,"Melilotus albus, Melilotus officinalis",Melilotus,Fabaceae,152.0,273.0,121.0,8575.52,7.27934485896269e-05,1.60531697341513,35.0,0.0525425,,4.0,21.13,1.60531697341513,1.8490503497616342e-05,0.2073497565067987,1.0,1
Myosotis spec,"Myosotis, Myosotis arvensis, Myosotis sylvatica",Myosotis,Boraginaceae,106.0,242.0,136.0,3166.87,4.80113960003187e-05,1.375,23.5,0.02259716367,0.0001209861059868,2.8,30.2597411333333,1.375,1.7382697329105755e-05,0.1949269828745387,1.0,1
Nigella spec,Nigella damascena,Nigella,Ranunculaceae,,,,,0.000278475188633,1.375,,0.13106782847,2.12801927577395,4.0,15.03,1.375,7.05760554427358e-05,0.7914293903975135,1.0,1
Onobrychis viciifolia,Onobrychis viciifolia,Onobrychis,Fabaceae,121.0,212.0,91.0,,0.0002368120202515,1.65882753919564,36.1666666666667,0.145,,4.0,27.5,1.65882753919564,6.018508066442666e-05,0.6749065444713095,1.0,1
Origanum vulgare,Origanum vulgare,Origanum,Lamiaceae,182.0,273.0,91.0,16183.86,4.17700301709688e-05,3.48583114227286,76.0,0.431302748733333,0.0070294649055641,4.0,18.7046642833333,3.48583114227286,1.080651569568501e-05,0.12118265997873143,1.0,1
Papaver spec,"Papaver dubium, Papaver rhoeas, Papaver sp",Papaver,Papaveraceae,121.0,212.0,91.0,53.87,6.28892385732876e-06,1.375,,0.002959960625,8.93335009715145,4.0,23.285,1.375,1.5938491361071349e-06,0.05,1.0,1
Phacelia tanacetifolia,"Phacelia tacetifolia, Phacelia tanacetifolia",Phacelia,Boraginaceae,152.0,304.0,152.0,4000.0,0.0012489185813613,1.375,32.5,0.5878191418,0.53000869150504,4.0,58.9,1.375,0.0003165228021724474,3.549439633580948,1.0,1
Plantago spec,"Plantago coronopus, Plantago lanceolata, Plantago major, Plantago media",Plantago,Plantaginaceae,114.0,281.0,167.0,269.758590481172,0.0,0.0,,0.0,0.496323030503319,4.0,23.9,0.0,0.0,0.05,1.0,1
Polygonum spec,"Polygonum, Polygonum aviculare, Polygonum aviculare agg",Polygonum,Polygonaceae,121.0,334.0,213.0,855.77,6.48022733912305e-06,1.375,0.0,0.00305,0.0051065471737198,1.33,25.0179055883978,1.375,4.939346177174834e-06,0.05538909350261974,1.0,1
Potentilla spec,"Potentilla anserina, Potentilla erecta, Potentilla fruticosa, Potentilla reptans",Potentilla,Rosaceae,152.0,263.0,111.0,257.1,4.93984543064298e-05,1.375,24.0,0.02325,,2.66,17.24,1.375,1.8826196565744827e-05,0.211114168652008,1.0,1
Primula vulgaris,Primula vulgaris,Primula,Primulaceae,32.0,151.0,119.0,246.98,0.000391060054595,1.28425357873211,28.0,0.17191,,7.25,25.0179055883978,1.28425357873211,5.463203541997348e-05,0.6126355208911762,1.0,1
Prunella vulgaris,Prunella vulgaris,Prunella,Lamiaceae,152.0,273.0,121.0,775.9064772725,0.0005824,0.662448006,,0.172537295569698,0.136629801742457,8.0,25.8046333,0.662448006,7.328226205676516e-05,0.8217763889283222,1.0,1
Prunus domestica,Prunus domestica,Prunus,Rosaceae,91.0,151.0,60.0,153.0,0.002005189903279,1.23838737949167,27.0,0.85,0.9,4.0,24.25,1.23838737949167,0.0005075054792252484,5.691090973092596,1.0,1
Prunus spinosa,Prunus spinosa,Prunus,Rosaceae,60.0,151.0,91.0,664.5858333335,9.93e-05,0.779652352,,0.26623,0.0333,0.0,27.2,0.779652352,10007.4194785536,7.0,1.0,1
Pyrus spec,"Pyrus, Pyrus communis",Pyrus,Rosaceae,91.0,151.0,60.0,,0.0007279344858962,0.775138767163307,16.9,0.2,1.2,4.0,27.0,0.775138767163307,0.00018339424661549747,2.0565558090602196,1.0,1
Ranunculus sceleratus,Ranunculus sceleratus,Ranunculus,Ranunculaceae,152.0,304.0,152.0,,0.5,,,,,4.0,15.03,1.375,0.12671874968320312,7.0,1.0,0
Ranunculus spec,"Ranuculus spp, Ranunculus, Ranunculus acris, Ranunculus bulbosos, Ranunculus bulbosus, Ranunculus flammula, Ranunculus lingua, Ranunculus repens",Ranuculus,Ranunculaceae,116.0,273.0,157.0,192.413467742,0.000197167,0.715746421,33.54375,0.0953673717914311,1.71041595806186,2.475,15.03,0.715746421,8.023362219941691e-05,0.8997279078339981,1.0,1
Raphanus spec,"Raphanus raphanistrum, Raphanus sativus, Raphanus spp",Raphanus,Brassicaceae,152.0,243.0,91.0,839.885,0.0001679176193004,2.49970785860356,54.5,0.129763168766666,0.60736020533039,8.33,24.4562121181818,2.49970785860356,2.066207311157399e-05,0.2317014152244603,1.0,1
Reseda spec,"Reseda lutea, Reseda luteola",Reseda,Resedaceae,136.0,273.0,137.0,,0.0007660981703449,1.375,,0.3605736801,0.137793366707249,4.0,25.0179055883978,1.375,0.00019415800456139057,2.177258989991272,1.0,1
Rhododendron ponticum,Rhododendron ponticum,Rhododendron,Ericaceae,32.0,273.0,241.0,126.47,0.002670406076541,1.375,,1.25686,,4.0,28.4,1.375,0.0006767810383314071,7.0,0.9999999999999838,1
Ribes subg. Ribes,"Ribes nigrum, Ribes rubrum, Ribes sp",Ribes,Grossulariaceae,91.0,151.0,60.0,,0.0180732484076433,1.15302528646087,25.1388888888889,5.25,0.25,4.0,25.0179055883978,1.15302528646087,0.004570409371541055,7.0,1.0,1
Ribes uva-crispa,Ribes uva-crispa,Ribes,Grossulariaceae,91.0,151.0,60.0,,0.0080944798301486,1.10078878177038,24.0,3.05,0.25,4.0,25.0179055883978,1.10078878177038,0.0020458957339006462,7.0,1.0,1
Rosa canina,"Rosa cania, Rosa canina, Rosa canina agg",Rosa,Rosaceae,136.0,212.0,76.0,32.84078125,3.6820439274427e-05,1.375,,0.01733,0.669444,0.0,11.786175,1.375,3732.6720314450367,7.0,1.0,1
Rubus idaeus,Rubus idaeus,Rubus,Rosaceae,,,,,0.0096506465933217,1.19710780017528,26.1,5.0,,4.0,25.57,1.19710780017528,0.0024415438030105665,7.0,1.0,1
Rubus sect. Rubus,"Rubus, Rubus caesius, Rubus fruticosus, Rubus fruticosus agg, Rubus sp",Rubus,Rosaceae,121.0,242.0,121.0,39.724326923,0.0061789625478229,0.500418064,33.075,1.90390184367336,0.564722,0.0,18.42,0.500418064,620988.3192580001,7.0,1.0,1
Salix spec,"Salix, Salix caprea, Salix cinerea, Salix daphnoides, Salix mean",Salix,Salicaceae,60.0,120.0,60.0,1147.20149750416,0.002606667,1.134482423,63.625,2.67153084257763,10.303333,0.0,31.5391666666667,1.134482423,263623.91789411416,7.0,1.0,1
Salvia spec,"Salvia fruticosa, Salvia hierosolymitana, Salvia judaica, Salvia pratensis, Salvia sp, Salvia ssp",Salvia,Lamiaceae,121.0,228.0,107.0,,0.0020952061682869,1.63558866491382,35.66,1.25,,4.0,18.7046642833333,1.63558866491382,0.0005323687793895721,5.969904323723776,1.0,1
Sambucus spec,"Sambucus, Sambucus nigra",Sambucus,Adoxaceae,152.0,181.0,29.0,20.1502224199288,0.0043989227949964,1.375,,2.070408,,0.0,25.0179055883978,1.375,445940.79834276,7.0,1.0,1
Sanguisorba minor,Sanguisorba minor,Sanguisorba,Rosaceae,121.0,243.0,122.0,504.0,1.28542214431785e-06,1.375,,0.000605,,4.0,21.518011945,1.375,3.257741738861197e-07,0.05,1.0,1
Satureja spec,"Satureja montana, Satureja sp, Satureja thymbra",Satureja,Lamiaceae,,,,,0.5,,66.85,,,3.5,18.7046642833333,1.375,0.14482142815765306,7.0,1.0,0
Scorzoneroides autumnalis,"Leontodon autumnalis, Scorzoneorides autumnalis, Scorzoneroides autumnalis",Leontodon,Asteraceae,167.0,273.0,106.0,698.281720430107,0.0011110031453536,1.375,33.0,0.5229075179,0.314548855277588,4.0,18.91633889375,1.375,0.0002815698589466283,3.1574825260849924,1.0,1
Senecio spec,"Senecio doronicum, Senecio vernalis",Senecio,Asteraceae,152.0,288.0,136.0,,0.5,,,,,4.0,18.91633889375,1.375,0.12671874968320312,7.0,1.0,0
Silene spec,"Silene, Silene dioica, Silene latifolia, Silene spp",Silene,Caryophyllaceae,111.0,273.0,162.0,226.54,0.0006327718804876,1.375,,0.2978219952,0.24862674346277,5.0,25.0179055883978,1.375,0.0001282944985122719,1.4386754276924225,1.0,1
Silene vulgaris,Silene vulgaris,Silene,Caryophyllaceae,152.0,212.0,60.0,316.0,0.0005342894324489,1.375,,0.25147,,4.0,25.0179055883978,1.375,0.00013540897769774563,1.5184561392869358,1.0,1
Sinapis alba,Sinapis alba,Sinapis,Brassicaceae,152.0,212.0,60.0,,0.0003733801888864,1.99517966695881,43.5,0.255,0.95334311921792,4.0,24.91,1.99517966695881,9.520744838585985e-05,1.067642167936992,1.0,1
Sinapis arvensis,"Sinapis arvensis, Sinapsis",Sinapis,Brassicaceae,121.0,212.0,91.0,3381.06,7.86978060863411e-05,2.06397896581946,45.0,0.0620958134423333,0.199239755420594,4.0,26.42,2.06397896581946,2.0080528012429828e-05,0.22518005496399962,1.0,1
Sisymbrium irio,Sisymbrium irio,Sisymbrium,Brassicaceae,121.0,243.0,122.0,,0.5,,,,,4.0,24.4562121181818,1.375,0.12671874968320312,7.0,1.0,0
Sisymbrium officinale,Sisymbrium officinale,Sisymbrium,Brassicaceae,152.0,212.0,60.0,1199.67058823529,1.97749966222081e-05,1.375,,0.0093073493477,0.0194532597748173,4.0,22.0,1.375,5.011725693911551e-06,0.05620074663977594,1.0,1
Solanum dulcamara,Solanum dulcamara,Solanum,Solanaceae,152.0,273.0,121.0,127.2,4.12184952062253e-06,1.375,,0.00194,,4.0,44.61,1.375,1.0446312352711944e-06,0.05,1.0,1
Solanum nigrum,Solanum nigrum,Solanum,Solanaceae,182.0,273.0,91.0,186.95,0.0,0.0,,0.0,,4.0,44.61,0.0,0.0,0.05,1.0,1
Solanum tuberosum,"Solanum, Solanum tuberosum",Solanum,Solanaceae,121.0,243.0,122.0,23.81,5.79820996998911e-05,1.375,,0.02729,,4.0,46.365,1.375,1.4694838355954054e-05,0.16478573206006164,1.0,1
Solidago spec,"Solidago serotina, Solidago spp",Solidago,Asteraceae,213.0,234.0,21.0,,0.5,,38.0,,,1.03,18.91633889375,1.375,0.4921116457076539,7.0,1.0,0
Sonchus spec,"Sonchus arvensis, Sonchus asper, Sonchus oleraceus, Sonchus sp",Sonchus,Asteraceae,162.0,304.0,142.0,133.059659055005,0.0010329340527684,1.375,17.0,0.486163323611111,0.368471904391115,6.0,16.4,1.375,0.00017452281570812288,1.9570729021319067,1.0,1
Sorbus aucuparia,Sorbus aucuparia,Sorbus,Rosaceae,121.0,158.0,37.0,5935.3,0.0001032866242038,1.14665498101081,25.0,0.07027,0.55,4.0,21.518011945,1.14665498101081,2.6117741290943347e-05,0.2928804668776484,1.0,1
Stachys spec,"Stachys germanica, Stachys officinalis, Stachys palustris, Stachys recta, Stachys sylvatica",Stachys,Lamiaceae,162.0,273.0,111.0,563.735,0.001464633,1.044243191,54.0,0.31111,0.8,6.75,14.5433167,1.044243191,0.00021924849306417097,2.458619996864818,1.0,1
Stellaria graminea,Stellaria graminea,Stellaria,Caryophyllaceae,121.0,212.0,91.0,1332.0,5.22763919793908e-05,1.375,,0.02460453734,0.0080087872352671,4.0,25.0179055883978,1.375,1.3248798059154859e-05,0.14857005121183678,1.0,1
Stellaria holostea,Stellaria holostea,Stellaria,Caryophyllaceae,91.0,120.0,29.0,1.31,1.17706424454891e-05,1.375,,0.00554,,4.0,25.0179055883978,1.375,2.9831221873208383e-06,0.05,1.0,1
Stellaria media,Stellaria media,Stellaria,Caryophyllaceae,1.0,365.0,364.0,220.22,2.02139738984941e-05,1.375,,0.00951395949,0.0017829058304383,4.0,25.0179055883978,1.375,5.122978997092151e-06,0.05744832463720842,1.0,1
Succisa pratensis,Succisa pratensis,Succisa,Dipsacoideae,182.0,273.0,91.0,171.347228381375,0.00454868828513,1.375,,2.140897,,4.0,25.0179055883978,1.375,0.0011528081843806138,7.0,0.9999999999999825,1
Symphytum spec,"Symphytum, Symphytum officinale, Symphytum sp, Symphytum tuberosum",Symphytum,Boraginaceae,121.0,191.0,70.0,49.8908333335,0.0032348331810122,0.989791281,31.85,1.60973,0.953333,14.5,13.6053345,0.989791281,0.00022530008796825882,2.5264816821889715,1.0,1
Taraxacum spec,"Taraxacum agg, Taraxacum officinale, Taraxacum sp",Taraxacum,Asteraceae,91.0,304.0,213.0,28.4588472119535,0.0044912445354973,1.294673289,46.9944444444444,2.79398272208032,4.24157269580751,2.85,12.466586675,1.294673289,0.001596277706273431,7.0,1.0,1
Thymus spec,"Thymus capitatus, Thymus polytrichus, Thymus ssp",Thymus,Lamiaceae,121.0,243.0,122.0,828.34,9.7310686482661e-05,1.73144902132632,37.75,0.039825,,4.0,18.7046642833333,1.73144902132632,2.4748892790980506e-05,0.27753040335998486,1.0,1
Trifolium hybridum,Trifolium hybridum,Trifolium,Fabaceae,121.0,273.0,152.0,,0.334567718362712,1.97224656733859,43.0,113.241333333334,,4.0,23.54,1.97224656733859,0.08529155446265702,7.0,1.0,0
Trifolium incarnatum,Trifolium incarnatum,Trifolium,Fabaceae,152.0,243.0,91.0,2293.73376623377,0.0053470004443786,1.87478089395267,40.875,3.542,1.95722167392162,4.0,26.3727967,1.87478089395267,0.0013618112433728155,7.0,0.9999998384664397,1
Trifolium pratense,Trifolium pratense,Trifolium,Fabaceae,136.0,272.0,136.0,84.819526983971,0.0051930379565146,0.985977213,39.925,2.24904993922074,0.618727615274655,9.25,28.7895958333333,0.985977213,0.0005669448780279812,6.357635552056926,1.0,1
Trifolium repens,"Trifolium repens, Trifolium sp",Trifolium,Fabaceae,136.0,272.0,136.0,108.815946340943,0.0009044560612793,0.980296686,36.0666666666667,0.853940248987676,0.640088238588026,2.0,26.633,0.980296686,0.0004566612047538675,5.120930840202503,1.0,1
Trifolium resupinatum,Trifolium resupinatum,Trifolium,Fabaceae,91.0,181.0,90.0,,0.0017450579413769,1.375,,0.821333333333331,,4.0,26.3727967,1.375,0.00044226312091205026,4.959472869133725,1.0,1
Tripleurospermum inodorum,Tripleurospermum inodorum,Tripleurospermum,Asteraceae,152.0,334.0,182.0,,0.0029890042525164,1.375,,1.406812214,,4.0,18.91633889375,1.375,0.0007575257633533107,7.0,0.9999999999999838,1
Ulex spec,"Ulex europaeus, Ulex gallii",Ulex,Fabaceae,121.0,181.0,60.0,602.345,1.41290202639896e-05,1.375,,0.00665,,4.0,26.3727967,1.375,3.580823564202805e-06,0.05,1.0,1
Vaccinium myrtillus,"Vaccinium, Vaccinium myrtillus, Vaccinium sp",Vaccinium,Ericaceae,91.0,181.0,90.0,220.43,0.0028662420382165,1.31865322816243,28.75,0.979135,,4.0,42.9,1.31865322816243,0.000726009456030074,7.0,0.9999999999999982,1
Vaccinium vitis-idaea,Vaccinium vitis-idaea,Vaccinium,Ericaceae,152.0,243.0,91.0,54.63,0.0004035580935646,1.33011977797254,29.0,0.18374,,4.0,28.4,1.33011977797254,0.00010223147464009926,1.1464085538118631,1.0,1
Veronica spec,"Veronica arvensis, Veronica chamaedrys, Veronica hederifolia, Veronica persica, Veronica polita, Veronica serpyllifolia, Veronica sp",Veronica,Plantaginaceae,50.0,273.0,223.0,768.253333333333,2.55556790304447e-05,1.375,27.5,0.0120280997816667,0.0345682603126845,3.0,20.637919575,1.375,8.635689843585472e-06,0.09683934169594213,1.0,1
Vicia faba,Vicia faba,Vicia,Fabaceae,153.0,182.0,29.0,107.5,0.00086,1.68645827247054,41.2,0.37680384,0.65,19.0,21.5,1.68645827247054,4.6026502141209557e-05,0.516134350428572,1.0,1
Vicia spec annuales,"Vicia angustifolia, Vicia hirsuta, Vicia pannonica, Vicia parviflora, Vicia sativa, Vicia tetrasperma, Vicia villosa",Vicia,Fabaceae,139.0,225.0,86.0,0.131818182,0.000860417,0.815340079,,0.445118640671233,0.193714889005261,7.0,42.8,0.815340079,0.00012391890334404861,1.3896081541689957,1.0,1
Vicia spec perennes,"Vicia cassubica, Vicia cracca, Vicia grandiflora, Vicia nigricans, Vicia sepium, Vicia sp, Vicia tenuifolia",Vicia,Fabaceae,140.0,206.0,66.0,221.10416666675,0.001587069,1.375,29.5,0.157638159683334,0.308991306727076,6.8,23.774583325,1.375,0.00023660164652705639,2.6532156792170185,1.0,1
Viola spec,"Viola arvensis, Viola reichenbachiana, Viola riviniana, Viola sylvestris, Viola tricolor",Viola,Violaceae,76.0,220.0,144.0,168.925,0.0008307947936859,0.886746518648359,19.3333333333333,0.17562,,15.0,25.0179055883978,0.886746518648359,5.5877455802483126e-05,0.6266014798546663,1.0,1
Zea mays,"Zea, Zea mays",Zea,Poaceae,197.0,211.0,14.0,42.5,0.0,0.0,,0.0,35.3,4.0,17.69,0.0,0.0,0.05,1.0,1
